DataType,Ask,Bid,LastPrice,StockPrice,Strike,Volatility,Volume,time_to_maturity,ImpliedVolatility
put,1,0.6,0.9,17.45,14,0.492912499,7,0.35890411,0.518071226
put,1.2,0.95,1.25,17.45,15,0.492912499,7,0.35890411,0.524418818
put,1.9,1.65,1.5,16.1,16,0.491393767,37,0.345205479,0.5537154
put,2.3,2.05,2.05,16.65,17,0.496108369,18,0.334246575,0.514165015
put,2.4,2,2.2,17.8,18,0.484981968,2,0.378082192,0.409185596
put,2.95,2.6,3.15,17.8,19,0.484981968,1,0.378082192,0.362311064
put,3.7,3.2,2.35,17.8,20,0.484981968,6,0.378082192,0.34278001
put,4.6,3.9,1.63,17.8,21,0.484981968,2,0.378082192,0.355475195
put,6.8,6.3,6,17.8,24,0.484981968,4,0.378082192,1.00E-05
put,7.7,7.2,6.3,17.8,25,0.484981968,20,0.378082192,1.00E-05
put,8.7,7.8,3.7,17.8,26,0.484981968,10,0.378082192,1.00E-05
put,10.9,9.7,8.25,17.8,28,0.484981968,10,0.378082192,1.00E-05
put,0.4,0.2,0.35,17.45,10,0.818914693,1,0.435616438,0.658206543
put,1.1,0.55,0.75,17.8,13,0.803660598,100,0.454794521,0.579594048
put,1.1,0.75,0.8,17.8,14,0.803660598,75,0.454794521,0.50537604
put,1.65,1.1,1.6,16.25,15,0.807661846,1,0.443835616,0.519536055
put,2.05,1.75,1.8,16.65,16,0.485274497,200,0.410958904,0.530278135
put,2.25,1.85,1.94,17.8,17,0.803660598,10,0.454794521,0.481450498
put,3.4,3,3.2,16.1,18,0.48877278,150,0.421917808,0.558109888
put,3.7,3.1,3.8,17.45,19,0.818914693,1,0.438356164,0.514653291
put,4.5,4.3,4.3,16.65,20,0.485274497,9,0.410958904,0.504887764
put,6.3,5.2,5.95,16.25,22,0.807661846,10,0.443835616,0.584965088
put,7.1,6.8,6.9,16.65,23,0.485274497,2,0.410958904,0.527836753
put,10.2,8.9,6.22,17.8,27,0.803660598,5,0.454794521,1.00E-05
put,1.75,1.35,1.44,16.65,14,0.736708864,10,0.660273973,0.541996768
put,2,1.8,1.85,16.65,15,0.736708864,250,0.660273973,0.518559502
put,2.6,2.25,2.2,16.65,16,0.736708864,50,0.660273973,0.520268469
put,0.15,0,0.33,152.26,85,0.192348266,2,0.128767123,0.859376406
put,0.15,0,0.05,152.26,100,0.192348266,2,0.128767123,0.648441016
put,0.15,0,0.15,152.26,110,0.192348266,25,0.128767123,0.525395371
put,0.15,0,0.4,152.26,115,0.192348266,4,0.128767123,0.513676738
put,1.25,0,0.11,155.35,120,0.19474839,4,0.120547945,0.588871299
put,0.4,0.15,0.39,151.58,125,0.261849331,2,0.093150685,0.468755313
put,0.35,0.2,0.25,156.66,130,0.2686795,45,0.084931507,0.39111937
put,0.55,0.35,0.35,156.66,135,0.2686795,25,0.084931507,0.362555203
put,0.9,0.65,0.78,156.66,140,0.2686795,273,0.084931507,0.337164832
put,1.5,1.25,1.35,156.66,145,0.2686795,36,0.084931507,0.314704119
put,4.3,4,4.2,156.66,155,0.2686795,1399,0.084931507,0.289069609
put,6.7,6.3,6.67,156.66,160,0.2686795,66,0.084931507,0.276618562
put,10.3,9.7,10.22,156.66,165,0.2686795,5,0.084931507,0.291877198
put,21.8,19.8,14.5,149.46,170,0.259445111,4,0.109589041,0.697146583
put,0.5,0.15,0.2,156.66,105,0.235376923,30,0.161643836,0.53223124
put,1.55,0.25,0.55,156.66,110,0.235376923,4,0.161643836,0.586674055
put,4.4,3.8,4.3,156.66,145,0.235376923,7,0.161643836,0.381353843
put,8,7.2,7.8,156.66,155,0.235376923,1,0.161643836,0.362188995
put,0.05,0,0.05,151.05,45,0.203441653,40,0.252054795,0.898438516
put,0.1,0,0.25,152.26,50,0.194855954,22,0.282191781,0.886719883
put,0.15,0,0.4,152.26,55,0.194855954,10,0.282191781,0.855470195
put,0.1,0,1.1,152.26,60,0.194855954,7,0.282191781,0.753908711
put,0.2,0,1.44,152.26,70,0.194855954,1,0.282191781,0.691409336
put,0.15,0,0.4,152.26,75,0.194855954,10,0.282191781,0.615238223
put,0.15,0,0.37,152.26,80,0.194855954,7,0.282191781,0.566410586
put,0.25,0.05,0.35,152.26,85,0.194855954,2,0.282191781,0.567387139
put,0.2,0.05,0.15,156.66,90,0.208025247,1,0.238356164,0.506840869
put,0.25,0.15,0.4,152.26,95,0.194855954,3,0.282191781,0.511235356
put,0.35,0.2,0.35,152.26,100,0.194855954,1,0.282191781,0.491704302
put,0.5,0.35,0.5,152.26,105,0.194855954,2,0.282191781,0.475347043
put,0.85,0.6,0.7,151.78,110,0.203286979,10,0.254794521,0.47852084
put,0.95,0.75,1.45,152.26,115,0.194855954,5,0.282191781,0.44092356
put,1.85,1.25,1.41,151.78,120,0.203286979,5,0.254794521,0.469487727
put,2.15,1.75,2.5,151.23,125,0.203216352,2,0.249315068,0.436407003
put,3.4,2.75,2.5,149.46,130,0.207159354,1,0.265753425,0.452092881
put,3.1,2.7,3.3,156.66,135,0.208025247,25,0.238356164,0.378790392
put,4.1,3.7,3.7,156.66,140,0.208025247,42,0.238356164,0.365484861
put,7.3,6.3,6.36,151.58,145,0.202449449,2,0.246575342,0.424810439
put,7.2,6.6,6.7,156.66,150,0.208025247,2,0.238356164,0.349371741
put,9.2,8.6,8.6,156.66,155,0.208025247,2,0.238356164,0.339484144
put,11.7,11.1,11.15,156.66,160,0.208025247,1,0.238356164,0.333991035
put,15.1,14,14.11,156.66,165,0.208025247,2,0.238356164,0.345892772
put,20.9,20.3,31.45,152.26,170,0.194855954,5,0.282191781,0.42871665
put,30,28.6,35.54,152.26,180,0.194855954,2,0.282191781,0.495122236
put,0.55,0.2,0.3,156.66,75,0.372635052,30,0.487671233,0.536625728
put,0.55,0.35,0.37,156.05,80,0.360347335,4,0.520547945,0.509770527
put,0.8,0.3,1.2,152.26,85,0.357992575,10,0.531506849,0.52148916
put,0.9,0.6,0.8,156.66,90,0.372635052,5,0.487671233,0.490971887
put,1,0.65,1.7,152.26,95,0.357992575,10,0.531506849,0.460210476
put,1.7,1.35,2.5,152.26,105,0.357992575,2,0.531506849,0.43555252
put,2.15,1.75,2.9,152.26,110,0.357992575,8,0.531506849,0.422124919
put,2.7,2.35,3.2,152.26,115,0.357992575,2,0.531506849,0.40924663
put,3.6,3,3.6,156.66,120,0.372635052,770,0.487671233,0.406622145
put,5.2,4.8,4.2,149.46,125,0.369649603,1,0.515068493,0.421819747
put,5.6,5.1,6.6,152.26,130,0.357992575,1,0.531506849,0.388800057
put,8.3,7.5,5.82,155.35,135,0.360534057,20,0.523287671,0.421270436
put,10.1,9.2,7.25,155.35,140,0.360534057,10,0.523287671,0.418401812
put,12.2,11.2,13.46,149.76,145,0.367271799,1,0.506849315,0.417547328
put,11.9,10.9,11.34,156.66,150,0.372635052,1,0.487671233,0.35385778
put,24.6,23.7,29.8,152.26,170,0.357992575,5,0.531506849,0.38037729
put,28.2,27.2,30.9,152.26,175,0.357992575,10,0.531506849,0.384314018
put,36.5,35.1,42.8,152.26,185,0.357992575,5,0.531506849,0.40723249
put,52.2,50.5,45.73,149.46,200,0.369649603,1,0.512328767,0.506901904
put,0.25,0.1,0.15,156.66,60,0.364317426,50,0.583561644,0.556645059
put,0.55,0.3,0.4,151.58,70,0.358659555,1,0.589041096,0.540531938
put,0.7,0.25,1,152.26,75,0.34472124,3,0.62739726,0.507817422
put,1.1,0.5,0.42,155.35,80,0.347400036,4,0.619178082,0.514897429
put,0.9,0.65,0.81,156.66,85,0.364317426,5,0.583561644,0.485356709
put,1.2,0.85,0.99,156.66,90,0.364317426,10,0.583561644,0.47449256
put,1.25,0.9,1.5,152.26,95,0.34472124,1,0.62739726,0.439214592
put,2.1,1.7,2,149.76,100,0.358342611,10,0.602739726,0.458135302
put,2.4,2,1.78,157.27,105,0.348509063,10,0.61369863,0.434453898
put,3.2,2.75,2.72,151.78,110,0.356944607,2,0.6,0.432317689
put,3.2,2.85,4,152.26,115,0.34472124,1,0.62739726,0.39179075
put,5,4.3,4.6,149.76,120,0.358342611,3,0.602739726,0.417425259
put,5.2,4.5,5,156.66,125,0.364317426,1,0.583561644,0.381170739
put,7.5,6.8,8.37,149.76,130,0.358342611,2,0.602739726,0.404760591
put,8.8,8,8.4,151.78,135,0.356944607,291,0.6,0.392767303
put,10.7,10,8.76,154.33,140,0.347388533,1,0.621917808,0.391302474
put,13,12.1,13,149.76,145,0.358342611,1,0.602739726,0.39380489
put,15.1,13.7,14,151.05,150,0.357118823,10,0.597260274,0.3867554
put,15.2,14.1,14.65,156.66,155,0.364317426,1,0.583561644,0.332892413
put,21,19.8,20.2,149.46,160,0.356604244,35,0.608219178,0.39548334
put,25.5,24.4,29.26,152.26,170,0.34472124,2,0.62739726,0.357306232
put,31.6,30,30.4,149.46,175,0.356604244,60,0.608219178,0.414312498
put,2.15,0.7,1.3,152.26,65,0.392725732,10,1.624657534,0.492436716
put,3,1.05,1.91,152.26,70,0.392725732,2,1.624657534,0.49731948
put,2.8,1.95,2.25,151.78,75,0.380717648,5,1.597260274,0.452153916
put,2.85,1.45,2.7,156.66,80,0.380902851,5,1.580821918,0.42066009
put,3.7,3.1,3.4,151.78,85,0.380717648,5,1.597260274,0.41998871
put,5.9,3.6,4.2,149.46,95,0.393037463,1,1.608219178,0.4203244
put,7.6,5.5,7,149.76,100,0.381098904,5,1.6,0.428960789
put,8.1,5.6,6.2,154.33,105,0.392498983,2,1.619178082,0.406957835
put,8.8,7.2,10.5,152.26,110,0.392725732,1,1.624657534,0.389074713
put,10.6,8.3,15.88,152.26,115,0.392725732,1,1.624657534,0.391302474
put,11.8,9.9,11.31,152.26,120,0.392725732,1,1.624657534,0.379950048
put,13.9,11.7,12.46,151.05,125,0.380752669,2,1.594520548,0.382025223
put,16.1,14.3,13.27,154.33,130,0.392498983,1,1.619178082,0.382879706
put,17.4,15.2,17.7,151.23,135,0.380232931,4,1.591780822,0.368048312
put,19.8,16.5,22.36,152.26,140,0.392725732,1,1.624657534,0.367788915
put,21.9,19.2,22.22,152.26,145,0.392725732,1,1.624657534,0.361303994
put,27,23.9,28.33,152.26,155,0.392725732,3,1.624657534,0.355292092
put,35.2,32.8,39.8,152.26,170,0.392725732,2,1.624657534,0.340704835
put,38.7,35.3,44.3,152.26,175,0.392725732,2,1.624657534,0.342429061
put,42.2,39.4,41.16,151.58,180,0.37934892,3,1.58630137,0.342657941
put,56.3,54,59.69,152.26,200,0.392725732,1,1.624657534,0.330756204
put,64.6,62,67.8,152.26,210,0.392725732,25,1.624657534,0.334235173
put,0.05,0,0.35,75.56,40,0.113559648,1,0.128767123,0.843751563
put,0.1,0,0.35,75.56,50,0.113559648,4,0.128767123,0.621097539
put,0.1,0,0.05,75.56,55,0.113559648,2,0.128767123,0.546879531
put,0.15,0,0.05,76.18,60,0.093047816,2,0.115068493,0.4462946
put,0.2,0.05,0.35,75.56,65,0.113559648,1,0.128767123,0.333502759
put,0.4,0.25,0.4,75.42,70,0.092543548,168,0.104109589,0.241706802
put,1.15,0.95,0.95,75.63,75,0.096454722,1,0.093150685,0.15186395
put,5,4.4,4.7,75.56,80,0.113559648,10,0.128767123,0.206062627
put,0.1,0,0.05,75.56,35,0.121879785,5,0.378082192,0.558598164
put,0.2,0,0.25,75.56,50,0.121879785,1,0.378082192,0.393560752
put,0.3,0.1,0.6,75.56,55,0.121879785,2,0.378082192,0.341315181
put,0.4,0.25,0.55,75.56,60,0.121879785,8,0.378082192,0.281257188
put,0.6,0.5,0.55,76.18,65,0.111720016,1,0.364383562,0.227546787
put,1.35,1.1,2.15,75.56,70,0.121879785,1,0.378082192,0.202156416
put,2.9,2.65,4.76,75.56,75,0.121879785,10,0.378082192,0.178963289
put,10.2,9.4,14.05,75.56,85,0.121879785,74,0.378082192,0.191414336
put,0.5,0.3,0.4,75.56,55,0.127412648,14,0.62739726,0.290534438
put,0.7,0.5,0.65,75.55,60,0.120696133,2,0.619178082,0.247566118
put,1.15,0.95,1.1,75.55,65,0.120696133,2,0.619178082,0.215461947
put,2.15,1.95,2.2,75.56,70,0.127412648,8,0.62739726,0.195808823
put,3.7,3.4,3.61,75.76,75,0.120304981,34,0.608219178,0.170845694
put,6.4,6.1,5.8,75.76,80,0.120304981,8,0.608219178,0.155587057
put,0.31,0,0.05,78.49,57.5,0.138947651,1,0.052054795,1.597658262
put,0.19,0,0.03,80.17,67.5,0.083239908,8,0.02739726,0.867188828
put,0.33,0,0.17,78.49,68,0.138947651,2,0.052054795,0.931641309
put,0.03,0,0.02,81.45,68.5,0.07260219,12,0.01369863,0.617191328
put,0.12,0.02,0.04,80.17,70,0.083239908,106,0.02739726,0.687503125
put,0.07,0.03,0.03,80.17,70.5,0.083239908,1,0.02739726,0.62500375
put,0.12,0.03,0.03,80.17,71,0.083239908,4,0.02739726,0.640628594
put,0.12,0.03,0.03,80.17,71.5,0.083239908,5,0.02739726,0.613285117
put,0.11,0,0.01,81.45,72,0.07260219,26,0.016438356,0.554691953
put,0.12,0,0.06,80.59,72.5,0.082068551,3,0.024657534,0.535160898
put,0.11,0,0.02,81.45,73,0.07260219,28,0.016438356,0.501958105
put,0.11,0,0.06,80.7,73.5,0.053652912,50,0.019178082,0.54297332
put,0.03,0,0.08,80.59,74,0.082068551,5,0.024657534,0.406255938
put,0.11,0.07,0.07,80.17,74.5,0.083239908,5,0.02739726,0.484380156
put,0.11,0.08,0.08,80.17,75,0.083239908,11,0.02739726,0.456060127
put,0.04,0.01,0.09,80.7,75.5,0.053652912,1,0.019178082,0.349615879
put,0.12,0.1,0.12,80.17,76,0.083239908,1,0.02739726,0.406255938
put,0.05,0.02,0.12,80.59,76.5,0.082068551,12,0.024657534,0.312506875
put,0.05,0.03,0.06,81.45,77,0.07260219,11,0.016438356,0.285163398
put,0.06,0.04,0.18,80.7,77.5,0.053652912,12,0.019178082,0.267585449
put,0.07,0.05,0.24,80.7,78,0.053652912,13,0.019178082,0.248054395
put,0.11,0.06,0.16,81.45,78.5,0.07260219,40,0.016438356,0.246101289
put,0.12,0.09,0.11,81.45,79,0.07260219,20,0.016438356,0.220710918
put,0.14,0.12,0.18,81.45,79.5,0.07260219,45,0.016438356,0.197273652
put,0.19,0.16,0.22,81.45,80,0.07260219,195,0.016438356,0.181648809
put,0.28,0.27,0.32,81.45,80.5,0.07260219,44,0.016438356,0.170906729
put,0.43,0.39,0.45,81.45,81,0.07260219,97,0.016438356,0.166023965
put,0.62,0.59,0.68,81.45,81.5,0.07260219,45,0.016438356,0.156258438
put,0.91,0.87,0.97,81.45,82,0.07260219,6,0.016438356,0.155770161
put,2.41,2.31,2.28,80.31,82.5,0.105464987,2,0.032876712,0.479985669
put,4.4,3.6,5.5,80.31,84,0.105464987,2,0.032876712,0.653323779
put,0.23,0,0.15,78.49,65,0.131832601,2,0.071232877,0.675784492
put,0.09,0,0.15,80.17,66.5,0.109215234,5,0.046575342,0.531254688
put,0.26,0,0.1,78.49,67,0.131832601,3,0.071232877,0.613285117
put,0.07,0,0.05,80.7,67.5,0.068301302,28,0.038356164,0.531254688
put,0.23,0,0.09,78.49,68,0.131832601,4,0.071232877,0.56055127
put,0.02,0,0.04,81.45,68.5,0.078233263,10,0.032876712,0.414068359
put,0.05,0,0.07,81.45,69,0.078233263,10,0.032876712,0.453130469
put,0.03,0,0.03,81.45,69.5,0.078233263,2,0.032876712,0.406255938
put,0.03,0.01,0.07,80.7,70,0.068301302,1,0.038356164,0.388677988
put,0.03,0,0.04,81.45,70.5,0.078233263,5,0.032876712,0.371100039
put,0.12,0.01,0.03,81.45,71,0.078233263,12,0.035616438,0.451177363
put,0.04,0.01,0.03,81.45,71.5,0.078233263,19,0.032876712,0.355475195
put,0.04,0.01,0.03,81.45,72,0.078233263,5,0.035616438,0.339850352
put,0.12,0.02,0.04,81.45,72.5,0.078233263,12,0.035616438,0.394537305
put,0.05,0.02,0.11,80.7,73,0.068301302,8,0.038356164,0.318366191
put,0.11,0.02,0.12,81.45,73.5,0.078233263,2,0.032876712,0.350592432
put,0.06,0.03,0.14,80.7,74,0.068301302,5,0.038356164,0.294928926
put,0.06,0.03,0.06,81.45,74.5,0.078233263,1,0.035616438,0.277350977
put,0.08,0.04,0.07,81.45,75,0.078233263,5,0.035616438,0.275397871
put,0.09,0.04,0.12,80.7,75.5,0.068301302,4,0.038356164,0.263679238
put,0.1,0.05,0.1,81.45,76,0.078233263,7,0.035616438,0.250984053
put,0.12,0.07,0.24,80.7,76.5,0.068301302,3,0.038356164,0.242195078
put,0.13,0.09,0.29,80.7,77,0.068301302,15,0.038356164,0.227546787
put,0.16,0.12,0.18,81.45,77.5,0.078233263,10,0.035616438,0.219734365
put,0.2,0.15,0.22,81.45,78,0.078233263,31,0.035616438,0.211921943
put,0.25,0.19,0.25,81.45,78.5,0.078233263,12,0.035616438,0.204597798
put,0.31,0.26,0.34,81.45,79,0.078233263,27,0.035616438,0.1962971
put,0.4,0.33,0.44,81.45,79.5,0.078233263,10,0.035616438,0.191414336
put,0.48,0.41,0.52,81.45,80,0.078233263,8,0.035616438,0.179695703
put,0.65,0.56,0.68,81.45,80.5,0.078233263,30,0.035616438,0.180672256
put,0.82,0.73,0.89,81.45,81,0.078233263,35,0.035616438,0.175301216
put,1.02,0.94,1.05,81.45,81.5,0.078233263,19,0.032876712,0.168953623
put,1.27,1.18,1.36,81.45,82,0.078233263,1,0.035616438,0.164070859
put,2.62,2.51,2.68,80.17,82.5,0.109215234,5,0.046575342,0.346197944
put,2.99,2.75,3.25,80.31,83,0.094991457,1,0.052054795,0.357428301
put,3.95,3.25,5.05,80.31,83.5,0.094991457,1,0.052054795,0.470708418
put,4.4,3.6,5.55,80.31,84,0.094991457,1,0.052054795,0.493413269
put,0.36,0,0.04,81.45,69.5,0.093238872,2,0.052054795,0.514653291
put,0.19,0,0.07,81.45,71.5,0.093238872,26,0.052054795,0.378912461
put,0.21,0,0.09,81.45,72.5,0.093238872,28,0.052054795,0.354986919
put,0.16,0.08,0.13,80.31,73,0.127359732,1,0.073972603,0.317877915
put,0.23,0.11,0.28,78.85,74,0.126632957,5,0.082191781,0.312995151
put,0.24,0.14,0.28,78.97,74.5,0.126754208,4,0.084931507,0.299811689
put,0.26,0.17,0.2,80.31,75,0.127359732,2,0.073972603,0.289069609
put,0.3,0.21,0.39,80.31,75.5,0.127359732,4,0.071232877,0.283210293
put,0.39,0.1,0.16,81.45,76,0.093238872,12,0.054794521,0.288581333
put,0.45,0.29,0.36,79.81,76.5,0.132894895,10,0.079452055,0.283210293
put,0.21,0.16,0.29,80.59,77,0.090793065,2,0.063013699,0.206062627
put,0.25,0.2,0.23,81.45,77.5,0.093238872,5,0.054794521,0.199226758
put,0.31,0.26,0.31,81.45,78,0.093238872,10,0.054794521,0.194832271
put,0.76,0.65,0.6,80.31,78.5,0.127359732,4,0.071232877,0.25806406
put,0.92,0.8,0.81,80.17,79,0.090320687,20,0.065753425,0.260261304
put,0.61,0.51,0.94,80.7,79.5,0.094712815,1,0.057534247,0.187019849
put,0.74,0.57,0.78,81.45,80,0.093238872,4,0.054794521,0.182625361
put,0.92,0.79,0.95,81.45,80.5,0.093238872,4,0.052054795,0.182137085
put,1.1,1.01,1.11,81.45,81,0.093238872,261,0.052054795,0.177498459
put,0.28,0,0.05,81.45,65,0.087726071,3,0.071232877,0.546879531
put,0.17,0.09,0.15,80.17,72.5,0.125649526,25,0.084931507,0.289069609
put,0.33,0.19,0.31,80.31,75,0.124380742,8,0.090410959,0.264655791
put,0.41,0.24,0.38,80.31,75.5,0.124380742,10,0.090410959,0.266608896
put,0.27,0.14,0.32,81.45,76,0.087726071,1,0.073972603,0.219734365
put,0.32,0.19,0.28,81.45,76.5,0.087726071,12,0.073972603,0.215828154
put,0.37,0.24,0.48,80.7,77,0.082556062,20,0.076712329,0.210457114
put,0.67,0.58,0.64,80.17,77.5,0.125649526,1,0.084931507,0.245124736
put,0.5,0.34,0.55,80.59,78,0.121812254,3,0.082191781,0.199715034
put,0.59,0.44,0.59,81.45,78.5,0.087726071,24,0.073972603,0.195808823
put,0.81,0.63,0.8,81.45,79.5,0.087726071,2,0.071232877,0.18677571
put,1.03,0.69,1.32,80.59,80,0.121812254,1,0.082191781,0.192635027
put,1.14,0.96,1.14,81.45,80.5,0.087726071,1,0.071232877,0.182137085
put,1.34,1.16,1.61,81.45,81,0.087726071,1,0.071232877,0.179695703
put,0.02,0,0.01,80.7,37.5,0.11784338,2,0.095890411,0.906250938
put,0.04,0,0.16,78.49,42.5,0.200107828,5,0.128767123,0.828126719
put,0.04,0,0.04,78.49,45,0.200107828,6,0.128767123,0.757814922
put,0.03,0,0.01,78.49,47.5,0.200107828,50,0.128767123,0.671878281
put,0.02,0,0.01,78.49,50,0.200107828,25,0.128767123,0.593754063
